source_ingredient_id,source_ingredient_name,canonical_id,mapping_type,confidence,source
ing_pending_0e9d34b34c98,,melia_azadirachta_flower_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=7787 sha256=4a523f990553
ing_pending_0e9fee75821c,,persea_gratissima_avocado_oil,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1675 sha256=4a523f990553
ing_pending_0ea0e46066c6,,peg_8_stearate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4265 sha256=4a523f990553
ing_pending_0ebc79111751,,menthol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=244 sha256=4a523f990553
ing_pending_0ed8842c8b35,,hydrogen_dimethicone,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4534 sha256=4a523f990553
ing_pending_0f04addbfe45,,hexyl_laurate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4890 sha256=4a523f990553
ing_pending_0f20cf8c9d75,,alumina,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1843 sha256=4a523f990553
ing_pending_0f52ac185da3,,jasminum_officinale_jasmine_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2651 sha256=4a523f990553
ing_pending_0f686b58336f,,honey,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1856 sha256=4a523f990553
ing_pending_0fbf12e2645c,,rosa_canina_seed_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5520 sha256=4a523f990553
ing_pending_1061c5b75d0d,,tocopherol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3288 sha256=4a523f990553
ing_pending_108b5d533f70,,trimethylsiloxysilicate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3340 sha256=4a523f990553
ing_pending_10d6c77df0e3,,madecassic_acid,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=71 sha256=4a523f990553
ing_pending_10ebaec20eae,,bambusa_vulgaris_leaf_stem_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3327 sha256=4a523f990553
ing_pending_11041c97e0be,,rosmarinus_officinalis_rosemary_leaf_oil,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5512 sha256=4a523f990553
ing_pending_1119d88e8aad,,dimethyl_isosorbide,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5043 sha256=4a523f990553
ing_pending_111bba405eca,,chaenomeles_sinensis_fruit_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=261 sha256=4a523f990553
ing_pending_11389397e09e,,diphenylsiloxy_phenyl_trimethicone,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5240 sha256=4a523f990553
ing_pending_115557b4f13e,,hydroxycitronellal,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4639 sha256=4a523f990553
ing_pending_115c49e1466e,,stearalkonium_hectorite,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1435 sha256=4a523f990553
ing_pending_117312f5f8f8,,saussurea_involucrata_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2789 sha256=4a523f990553
ing_pending_11e567a5ff52,,hydrolyzed_collagen,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4796 sha256=4a523f990553
ing_pending_11f0730343a6,,sodium_dna,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1048 sha256=4a523f990553
ing_pending_12295e6b98e7,,citrullus_lanatus_watermelon_fruit_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1341 sha256=4a523f990553
ing_pending_1275659b3edc,,acetamidoethoxyethanol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=23798 sha256=4a523f990553
ing_pending_12d300e92090,,quillaja_saponaria_bark_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3167 sha256=4a523f990553
ing_pending_12e8f530c8cb,,sorbitan_olivate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1290 sha256=4a523f990553
ing_pending_13666b5f15fc,,cetyl_palmitate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1004 sha256=4a523f990553
ing_pending_1394d48610ea,,silica_dimethyl_silylate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1549 sha256=4a523f990553
ing_pending_13954d99b35a,,parietaria_officinalis_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3636 sha256=4a523f990553
